Health Center Name,Operated By,Street Address,City,State,ZIP Code,Telephone Number,Website
ACCESS Rogers Park Family Health Center,ACCESS COMMUNITY HEALTH NETWORK,1555 W Howard St,Chicago,IL,60626-1707,773-764-7146,http://www.accesscommunityhealth.net
Tapestry 360 Health - Gale,TAPESTRY 360 HEALTH,1631 W. Jonquil Terrace 1st Floor  RM 107,Chicago,IL,60626-1103,773-366-7710,
ACCESS Auburn-Gresham Family Health Center,ACCESS COMMUNITY HEALTH NETWORK,8234 S. ASHLAND AVE,CHICAGO,IL,60620-4625,773-874-1400,http://www.accesscommunityhealth.net
ACCESS Doctors Medical Center,ACCESS COMMUNITY HEALTH NETWORK,6240 W 55TH ST,CHICAGO,IL,60638-2531,773-284-2200,http://www.accesscommunityhealth.net
TCA Chatham II,"TCA HEALTH, INC. NFP",8419 S Cottage Grove Ave,Chicago,IL,60619-6113,773-995-6300,
TCA Health- Chatham,"TCA HEALTH, INC. NFP",8425 S Cottage Grove Ave,Chicago,IL,60619-6113,773-995-6300,http://www.tcahealth.org
ACCESS Evanston Family Health Center,ACCESS COMMUNITY HEALTH NETWORK,1723 Howard St,Evanston,IL,60202-3735,866-267-2353,
Pillars Community Health Burlington,PILLARS COMMUNITY HEALTH,105 E Burlington St Ste C,Riverside,IL,60546-2382,708-745-5277,http://www.pillarscommunityhealth.org
Temporary Site - Midway Shelter,LAWNDALE CHRISTIAN HEALTH CENTER,7353 S Cicero Ave,Chicago,IL,60629-5816,872-588-3163,
ACCESS Brandon Family Health Center,ACCESS COMMUNITY HEALTH NETWORK,2822 E 83rd St,Chicago,IL,60617-2105,773-721-7600,
ACCESS Melrose Park Family Health Center,ACCESS COMMUNITY HEALTH NETWORK,8321 W NORTH AVE,MELROSE PARK,IL,60160-1605,708-681-2298,http://www.accesscommunityhealth.net
Chicago Family Health Center - CVCA,CHICAGO FAMILY HEALTH CENTER INC,2100 E 87th St,Chicago,IL,60617-3011,773-768-5000,http://www.http://chicagofamilyhealth.org
PCC Melrose Park Family Health Center,PCC COMMUNITY WELLNESS CENTER,1111 Superior St STE 101,Melrose Park,IL,60160-4100,708-406-3040,
"CHICAGO FAMILY HEALTH CENTER, INC.",CHICAGO FAMILY HEALTH CENTER INC,9119 S Exchange Ave,Chicago,IL,60617-4225,773-768-5000,http://www.chicagofamilyhealth.org
Erie Evanston/Skokie Health Center,ERIE FAMILY HEALTH CENTER,1285 Hartrey,Evanston,IL,60202-1056,312-666-3494,http://www.eriefamilyhealth.org
CHRISTIAN COMMUNITY HEALTH CENTER,CHRISTIAN COMMUNITY HEALTH CENTER,9718 S HALSTED ST,CHICAGO,IL,60628-1007,773-233-4100,http://www.cchc-online.org
MOBILE HEALTH VAN,CHRISTIAN COMMUNITY HEALTH CENTER,9718 S HALSTED ST,CHICAGO,IL,60628-1007,773-233-4100,http://www.cchc-online.org
ACCESS Des Plaines Valley Health Center,ACCESS COMMUNITY HEALTH NETWORK,7450 W   63rd St,Summit Argo,IL,60501-1816,708-458-0757,http://www.accesscommunityhealth.net
Pillars Community Health BEDS Plus Summit,PILLARS COMMUNITY HEALTH,7666 W 63rd Street,Summit,IL,60501-1812,708-745-5277,
Tapestry 360 Health - Skokie,TAPESTRY 360 HEALTH,8320 Skokie Blvd,Skokie,IL,60077-2545,773-296-7589,http://tap360health.org/
AHS Family Health Center Skokie,ASIAN HUMAN SERVICES FAMILY HEALTH CENTER,8800 LOCKWOOD AVE,SKOKIE,IL,60077-1500,773-761-0300,
Pillars Community Health La Grange Park,PILLARS COMMUNITY HEALTH,321 N La Grange Rd,La Grange Park,IL,60526-5622,708-745-5277,http://www.pillarscommunityhealth.org
Aunt Martha's Roseland Community Health Center,AUNT MARTHA'S HEALTH & WELLNESS INC,"45 W. 111th Street, 3rd Floor West, Chicago, IL 60628",Chicago,IL,60628,877-692-8686,http://www.auntmarthas.org
"10225 Grand Avenue, Franklin Park, IL 60131",GREATER FAMILY HEALTH,10225 Grand Ave,Franklin Park,IL,60131-3138,844-599-3700,http://greaterfamilyhealth.org
Chicago Family Health Center - Roseland,CHICAGO FAMILY HEALTH CENTER INC,120 W  111th St,Chicago,IL,60628-4215,773-768-5000,http://www.chicagofamilyhealth.org
Chicago Family Health Center East Side,CHICAGO FAMILY HEALTH CENTER INC,10536 S Ewing Ave,Chicago,IL,60617-6219,773-768-5000,http://www.chicagofamilyhealth.org
Chicago Family Health Center- Pullman,CHICAGO FAMILY HEALTH CENTER INC,570 E 115th St,Chicago,IL,60628-5740,773-768-5000,http://www.chicagofamilyhealth.org
Southeast Side Community Health Center,AUNT MARTHA'S HEALTH & WELLNESS INC,3528 E  118th St,Chicago,IL,60617-7314,877-692-8686,http://www.auntmarthas.org
"Mobile Student Health Clinic, Parking Lot B","TCA HEALTH, INC. NFP","1029 East 130th St.,  Pkg Lot B",Chicago,IL,60628-6062,773-995-6300,http://www.tcahealth.org
"TCA Health, Inc.","TCA HEALTH, INC. NFP",1029 E  130th St,Chicago,IL,60628-6908,773-995-6300,
Mobile Oral Health Unit,"TCA HEALTH, INC. NFP",1029 East 130th Street  Pkg Lot B,Chicago,IL,60628-6006,773-995-6300,
AHS Family Health Center Niles,ASIAN HUMAN SERVICES FAMILY HEALTH CENTER,8321 W Golf Rd,Niles,IL,60714-1113,800-597-5077,http://www.ahsfhc.org
Beloved Community Family Wellness Satellite Health Center,Beloved Community Family Wellness Center,2338 New St,Blue Island,IL,60406-2402,708-577-5060,
ACCESS Blue Island Family Health Center,ACCESS COMMUNITY HEALTH NETWORK,13000 Maple Ave,Blue Island,IL,60406-2318,708-385-6100,http://www.accesscommunityhealth.net
"CARVER MILITARY ACADEMY/TCA HLTH,INC","TCA HEALTH, INC. NFP",13100 S Doty Ave,Chicago,IL,60827-1597,773-535-5357,
TCA Health – Hegewisch,"TCA HEALTH, INC. NFP","13336 S Baltimore, 1st Floor",Chicago,IL,60633,773-995-6300 x213,http://www.tcahealth.org
VNA Health Center - Bensenville,"VNA HEALTH CARE, AN ILLINOIS NOT-FOR-PROFIT CORPORATION",213 W Main St,Bensenville,IL,60106-2134,630-892-4355,
Family Christian Health Center,FAMILY CHRISTIAN HEALTH CENTER,713 E. 142nd St.,Dolton,IL,60419-1062,708-596-5177,
Regional Health Clinic,SOUTHLAKE COMMUNITY MENTAL HEALTH CENTER INC,4022 Hohman Ave,Hammond,IN,46327-1239,219-937-3300,http://regionalhealthclinic.org
CHRISTIAN COMMUNITY HEALTH CTR,CHRISTIAN COMMUNITY HEALTH CENTER,901 E. SIBLEY BLVD,SOUTH HOLLAND,IL,60473-1166,708-732-7032,http://www.cchc-online.org
CHRISTIAN COMMUNITY HLTH CENTER,CHRISTIAN COMMUNITY HEALTH CENTER,364 Torrence Ave,Calumet City,IL,60409-1902,708-868-9457,http://www.cchc-online.org
Hamdard Health Addison,HAMDARD HEALTH ALLIANCE,228 E Lake St,Addison,IL,60101-2889,630-835-1430 x258,http://www.hamdardcenter.org
"Southlake Community Mental Health Center, Inc., d.b.a. Regional Health Clinic",SOUTHLAKE COMMUNITY MENTAL HEALTH CENTER INC,3903 Indianapolis Blvd,East Chicago,IN,46312-2555,219-937-3300,
ACCESS Genesis Center for Health and Empowerment,ACCESS COMMUNITY HEALTH NETWORK,1 N Broadway St,Des Plaines,IL,60016-2335,847-298-3150,http://www.accesscommunityhealth.net
Community HealthNet at E.C. Central,COMMUNITY HEALTHNET INC,1100 W Columbus Dr,East Chicago,IN,46312-2582,219-880-1190,http://www.chn-indiana.org
HealthLinc East Chicago Harbor West,HEALTHLINC INC,2106 Broadway St,East Chicago,IN,46312-2218,888-580-1060,
Family Christian Health Center Community Connect,FAMILY CHRISTIAN HEALTH CENTER,31 E 155th St,Harvey,IL,60426-3633,708-596-5177,
FAMILY CHRISTIAN HEALTH CENTER,FAMILY CHRISTIAN HEALTH CENTER,31 W  155th St,Harvey,IL,60426-3556,708-596-5177,http://www.familychristianhealthcenter.org
HealthLinc East Chicago,HEALTHLINC INC,1313 W. Chicago Ave.,East Chicago,IN,46312-3316,219-398-9685,http://www.healthlincchc.org
HealthLinc East Chicago Harbor,HEALTHLINC INC,2323 Broadway St,East Chicago,IN,46312-2264,888-580-1060,http://www.healthlincchc.org
South Suburban Homeless Outreach Center,AUNT MARTHA'S HEALTH & WELLNESS INC,15420 Dixie Hwy Unit G,Harvey,IL,60426-3479,877-692-8686,http://www.auntmarthas.org
Family Christian Health Center MCHC,FAMILY CHRISTIAN HEALTH CENTER,15620 Wood St,Harvey,IL,60426-4171,708-596-5177,
Regional Health Clinic,SOUTHLAKE COMMUNITY MENTAL HEALTH CENTER INC,559 State St,Hammond,IN,46320-1533,219-937-3300,http://www.regionalmentalhealth.org
219 Health Network,219 HEALTH NETWORK INC,100 W. Chicago Ave.  STE F,East Chicago,IN,46312,219-392-7016,http://219health.org/
219 Health Network Inc,219 HEALTH NETWORK INC,100 W Chicago Ave STE F,East Chicago,IN,46312-3261,219-392-7016,http://www.219health.org
219 Health Network Inc.,219 HEALTH NETWORK INC,2020 E Columbus Dr Ste A,East Chicago,IN,46312-2830,219-397-8965,
NorthShore East Chicago,"NORTHSHORE HEALTH CENTERS, INC",2121 E Columbus Dr.,East Chicago,IN,46312,219-763-8112,
TCA Health Hammond,"TCA HEALTH, INC. NFP",5504 Hohman Ave,Hammond,IN,46320-1933,773-995-6300,
South Holland Community Health Center,AUNT MARTHA'S HEALTH & WELLNESS INC,52 W  162nd St,South Holland,IL,60473-2061,877-692-8686,http://www.auntmarthas.org
219 Health Network Inc,219 HEALTH NETWORK INC,4320 Fir St Unit 208,East Chicago,IN,46312-8410,219-398-9370,http://www.219health.org
219 Health Network Inc.,219 HEALTH NETWORK INC,4320 Fir St Unit 307,East Chicago,IN,46312-3078,219-398-9840,
219 Health Network Inc.,219 HEALTH NETWORK INC,4320 Fir St Unit 216,East Chicago,IN,46312-3076,219-392-7025,
219 Health Network Inc.,219 HEALTH NETWORK INC,4320 Fir St Unit 408,East Chicago,IN,46312-3078,219-554-4081,
219 Health Network,219 HEALTH NETWORK INC,4320 Fir St  STE 211,East Chicago,IN,46312-3076,219-703-2577,http://219health.org/
Anne M Jeans Elementary School,PILLARS COMMUNITY HEALTH,16W631 91st St Ste 113,Willowbrook,IL,60527-6126,630-325-8186,http://www.pillarscommunityhealth.org
